month,day,weekday,hour,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
1,13,3,0,1,0,1,1,5.74,6.06,59,19.0012,1,6,7
1,13,3,1,1,0,1,1,5.74,6.06,50,19.0012,0,2,2
1,13,3,2,1,0,1,1,5.74,6.06,50,23.9994,0,2,2
1,13,3,3,1,0,1,1,5.74,6.06,50,22.0028,0,3,3
1,13,3,4,1,0,1,1,5.74,6.06,50,16.9979,0,4,4
1,13,3,5,1,0,1,1,5.74,6.06,50,19.9995,0,3,3
1,13,3,6,1,0,1,1,4.92,7.575,54,8.9981,0,28,28
1,13,3,7,1,0,1,1,4.92,7.575,54,8.9981,0,72,72
1,13,3,8,1,0,1,1,5.74,6.82,50,12.998,5,197,202
1,13,3,9,1,0,1,1,5.74,6.06,50,22.0028,2,137,139
1,13,3,10,1,0,1,2,6.56,6.82,50,23.9994,2,36,38
1,13,3,11,1,0,1,2,8.2,8.335,44,30.0026,4,33,37
1,13,3,12,1,0,1,1,8.2,8.335,44,27.9993,3,49,52
1,13,3,13,1,0,1,1,9.02,9.85,41,30.0026,2,81,83
1,13,3,14,1,0,1,1,9.02,9.85,41,26.0027,3,39,42
1,13,3,15,1,0,1,1,9.84,10.605,38,19.9995,5,55,60
1,13,3,16,1,0,1,1,9.84,10.605,38,23.9994,2,76,78
1,13,3,17,1,0,1,1,8.2,9.09,40,19.0012,4,158,162
1,13,3,18,1,0,1,1,8.2,9.09,40,22.0028,3,141,144
1,13,3,19,1,0,1,1,6.56,7.575,47,16.9979,1,98,99
1,13,3,20,1,0,1,1,6.56,7.575,47,15.0013,0,64,64
1,13,3,21,1,0,1,1,5.74,6.06,46,19.9995,0,40,40
1,13,3,22,1,0,1,1,5.74,6.06,46,22.0028,0,30,30
1,13,3,23,1,0,1,1,4.92,6.82,50,12.998,1,14,15
1,14,4,0,1,0,1,1,4.92,6.82,50,12.998,0,14,14
1,14,4,1,1,0,1,1,4.1,6.06,54,11.0014,0,5,5
1,14,4,2,1,0,1,1,4.1,6.06,54,8.9981,0,1,1
1,14,4,3,1,0,1,1,4.1,6.82,54,7.0015,0,1,1
1,14,4,5,1,0,1,1,4.1,6.82,54,6.0032,0,8,8
1,14,4,6,1,0,1,1,4.1,9.09,54,0.0,0,17,17
1,14,4,7,1,0,1,1,4.1,6.06,74,11.0014,0,70,70
1,14,4,8,1,0,1,1,4.92,8.335,68,0.0,2,156,158
1,14,4,9,1,0,1,1,5.74,7.575,69,8.9981,0,117,117
1,14,4,10,1,0,1,1,7.38,9.09,55,12.998,4,40,44
1,14,4,11,1,0,1,1,7.38,8.335,51,19.0012,6,47,53
1,14,4,12,1,0,1,1,8.2,9.85,44,16.9979,2,59,61
1,14,4,13,1,0,1,1,9.02,9.85,37,26.0027,4,73,77
1,14,4,14,1,0,1,1,9.02,10.605,41,19.0012,5,59,64
1,14,4,15,1,0,1,1,9.84,12.12,38,11.0014,9,59,68
1,14,4,16,1,0,1,1,9.02,12.12,41,7.0015,3,87,90
1,14,4,17,1,0,1,1,9.02,11.365,41,11.0014,4,155,159
1,14,4,18,1,0,1,1,8.2,12.88,47,0.0,5,134,139
1,14,4,19,1,0,1,1,6.56,9.85,59,6.0032,3,89,92
1,14,4,20,1,0,1,1,7.38,12.12,59,0.0,0,68,68
1,14,4,21,1,0,1,1,6.56,11.365,69,0.0,4,48,52
1,14,4,22,1,0,1,2,6.56,11.365,69,0.0,2,34,36
1,14,4,23,1,0,1,2,7.38,12.12,55,0.0,1,26,27
1,15,5,0,1,0,0,1,7.38,12.12,55,0.0,3,25,28
1,15,5,1,1,0,0,2,6.56,9.85,59,6.0032,2,18,20
1,15,5,2,1,0,0,2,6.56,9.85,59,6.0032,0,12,12
1,15,5,3,1,0,0,2,6.56,11.365,59,0.0,1,7,8
1,15,5,4,1,0,0,2,6.56,11.365,59,0.0,0,5,5
1,15,5,5,1,0,0,1,6.56,11.365,59,0.0,0,1,1
1,15,5,6,1,0,0,1,5.74,8.335,63,7.0015,1,2,3
1,15,5,7,1,0,0,1,5.74,10.605,63,0.0,1,9,10
1,15,5,8,1,0,0,1,5.74,7.575,63,8.9981,1,22,23
1,15,5,9,1,0,0,1,6.56,9.09,64,8.9981,2,31,33
1,15,5,10,1,0,0,1,7.38,9.85,59,11.0014,2,57,59
1,15,5,11,1,0,0,1,8.2,9.85,55,15.0013,18,54,72
1,15,5,12,1,0,0,1,9.84,11.365,48,15.0013,15,74,89
1,15,5,13,1,0,0,1,11.48,12.88,38,19.9995,21,80,101
1,15,5,14,1,0,0,1,12.3,14.395,39,19.0012,26,92,118
1,15,5,15,1,0,0,2,13.12,15.91,36,12.998,21,108,129
1,15,5,16,1,0,0,2,13.94,16.665,34,12.998,33,95,128
1,15,5,17,1,0,0,2,13.12,15.15,36,19.0012,29,54,83
1,15,5,18,1,0,0,2,12.3,14.395,45,16.9979,15,69,84
1,15,5,19,1,0,0,2,13.12,15.15,39,16.9979,14,60,74
1,15,5,20,1,0,0,2,13.12,15.15,39,16.9979,6,35,41
1,15,5,21,1,0,0,2,13.12,15.15,39,15.0013,6,51,57
1,15,5,22,1,0,0,2,12.3,15.91,42,7.0015,0,26,26
1,15,5,23,1,0,0,1,12.3,14.395,45,19.0012,5,39,44
1,16,6,0,1,0,0,1,10.66,15.15,56,0.0,6,33,39
1,16,6,1,1,0,0,1,10.66,13.635,56,8.9981,4,19,23
1,16,6,2,1,0,0,1,10.66,14.395,56,6.0032,3,13,16
1,16,6,3,1,0,0,1,9.02,13.635,69,0.0,9,6,15
1,16,6,4,1,0,0,1,10.66,12.88,56,11.0014,0,1,1
1,16,6,5,1,0,0,2,10.66,12.88,56,11.0014,1,1,2
1,16,6,6,1,0,0,2,10.66,12.88,56,11.0014,0,1,1
1,16,6,7,1,0,0,2,9.84,10.605,56,19.9995,0,3,3
1,16,6,8,1,0,0,1,9.02,10.605,55,19.0012,0,18,18
1,16,6,9,1,0,0,1,9.02,10.605,51,16.9979,3,29,32
1,16,6,10,1,0,0,1,9.02,10.605,51,19.0012,8,71,79
1,16,6,11,1,0,0,1,9.84,11.365,44,16.9979,23,70,93
1,16,6,12,1,0,0,1,9.84,10.605,41,19.0012,29,75,104
1,16,6,13,1,0,0,1,10.66,11.365,35,19.9995,23,95,118
1,16,6,14,1,0,0,1,11.48,13.635,36,16.9979,22,69,91
1,16,6,15,1,0,0,1,10.66,12.12,38,16.9979,35,78,113
1,16,6,16,1,0,0,1,9.84,11.365,38,15.0013,22,77,99
1,16,6,17,1,0,0,1,9.02,10.605,37,16.9979,23,82,105
1,16,6,18,1,0,0,1,8.2,10.605,40,11.0014,11,56,67
1,16,6,19,1,0,0,1,7.38,9.85,47,8.9981,14,47,61
1,16,6,20,1,0,0,1,7.38,9.85,47,11.0014,7,50,57
1,16,6,21,1,0,0,1,7.38,9.85,51,11.0014,6,22,28
1,16,6,22,1,0,0,2,8.2,10.605,49,8.9981,2,19,21
1,16,6,23,1,0,0,2,8.2,11.365,40,7.0015,0,18,18
1,17,0,0,1,1,0,2,8.2,9.85,47,15.0013,1,16,17
1,17,0,1,1,1,0,2,8.2,9.85,44,12.998,1,15,16
1,17,0,2,1,1,0,2,7.38,8.335,43,16.9979,0,8,8
1,17,0,3,1,1,0,2,7.38,9.09,43,12.998,0,2,2
1,17,0,4,1,1,0,2,7.38,9.85,43,8.9981,1,2,3
1,17,0,5,1,1,0,2,7.38,9.85,43,11.0014,0,1,1
1,17,0,6,1,1,0,2,7.38,9.09,43,12.998,0,5,5
1,17,0,7,1,1,0,2,6.56,9.09,50,8.9981,4,9,13
1,17,0,8,1,1,0,2,6.56,7.575,47,15.0013,3,30,33
1,17,0,9,1,1,0,2,6.56,7.575,47,15.0013,8,39,47
1,17,0,10,1,1,0,2,6.56,7.575,50,16.9979,7,50,57
1,17,0,11,1,1,0,2,6.56,7.575,55,12.998,9,55,64
1,17,0,12,1,1,0,2,7.38,9.85,47,8.9981,10,70,80
1,17,0,13,1,1,0,2,7.38,9.85,47,8.9981,13,80,93
1,17,0,14,1,1,0,2,7.38,10.605,43,7.0015,12,74,86
